"song" "line" "artist"
"147" "Bring the Sun / Toussaint L’Ouverture" "Bring the sun, spins around and around and around" "Swans"
"148" "Bring the Sun / Toussaint L’Ouverture" "Is it mine, is it mine, is it mine, is it mine" "Swans"
"149" "Bring the Sun / Toussaint L’Ouverture" "Is it mine, is it mine, is it mine, is it mine" "Swans"
"150" "Bring the Sun / Toussaint L’Ouverture" "Is it mine, is it mine, is it mine, is it mine" "Swans"
"151" "Bring the Sun / Toussaint L’Ouverture" "Is it mine, is it mine, is it mine, is it mine" "Swans"
"152" "Bring the Sun / Toussaint L’Ouverture" "Spins around and around and around and around" "Swans"
"153" "Bring the Sun / Toussaint L’Ouverture" "Spins around and around and around and around" "Swans"
"154" "Bring the Sun / Toussaint L’Ouverture" "Spins around and around and around and around" "Swans"
"155" "Bring the Sun / Toussaint L’Ouverture" "Spins around and around and around and around" "Swans"
"156" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"157" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"158" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"159" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"160" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"161" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"162" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"163" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"164" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"165" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"166" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"167" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"168" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"169" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"170" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"171" "Bring the Sun / Toussaint L’Ouverture" "Sun, sun, bring the sun" "Swans"
"172" "Bring the Sun / Toussaint L’Ouverture" "Freedom!" "Swans"
"173" "Bring the Sun / Toussaint L’Ouverture" "From!" "Swans"
